"Slug","Type de chambre","Content","Prix","Options","Hôtel","min de personne","max de personne"
"chambre-sextuple-vue-cher---4-à-6-pers","Chambre Sextuple vue Cher - 4 à 6 pers","","0","Option 1","le-grand-hôtel","4","6"
"chambre-quadruple-vue-cher---3-à-4-pers","Chambre Quadruple vue Cher - 3 à 4 pers","","0","Option 1","le-grand-hôtel","3","4"
"chambre-quadruple---3-à-4-pers","Chambre Quadruple - 3 à 4 pers","","0","Option 1","le-grand-hôtel","3","4"
"chambre-triple-vue-cher---2-à-3-pers","Chambre Triple vue Cher - 2 à 3 pers","","0","Option 1","le-grand-hôtel","2","3"
"chambre-triple---2-à-3-pers","Chambre Triple - 2 à 3 pers","","0","Option 1","le-grand-hôtel","2","3"
"chambre-double-vue-cher---1-à-2-pers","Chambre Double vue Cher - 1 à 2 pers","","0","Option 1","le-grand-hôtel","1","2"
"chambre-double---1-a-2-pers-pagodes","Chambre Double - 1 à 2 pers","","0","Option 1","le-grand-hôtel","1","2"
"appartement-1-chambre-psh---1-2-pers","Appartement 1 chambre PSH - 1-2 pers","","0","Option 1","les-hameaux-de-beauval","1","2"
"appartement-2-chambres---1-8-pers","Appartement 2 chambres - 1-8 pers","","0","Option 1","les-hameaux-de-beauval","1","8"
"duplex-4-pièces---1-8-pers","Duplex 4 pièces - 1-8 pers","","0","Option 1","les-hameaux-de-beauval","1","8"
"appartement-3-chambres---1-6-pers","Appartement 3 chambres - 1-6 pers","","0","Option 1","les-hameaux-de-beauval","1","6"
"appartement-2-chambres---1-4-pers","Appartement 2 chambres - 1-4 pers","","0","Option 1","les-hameaux-de-beauval","1","4"
"appartement-1-chambre---1-4-pers","Appartement 1 chambre - 1-4 pers","","0","Option 1","les-hameaux-de-beauval","1","4"
"junior-suite---1-à-5-pers","Junior Suite - 1 à 5 pers","","0","Option 1","les-jardins-de-beauval","1","5"
"chambre-supérieure-quadruple---vue-lac---1-à-4-pers","Chambre Supérieure Quadruple - Vue lac - 1 à 4 pers","","0","Option 1","les-jardins-de-beauval","1","4"
"chambre-supérieure-triple---vue-lac---1-à-3-pers","Chambre Supérieure Triple - Vue lac - 1 à 3 pers","","0","Option 1","les-jardins-de-beauval","1","3"
"chambre-supérieure-triple","Chambre Supérieure Triple - 1 à 3 pers","","0","Option 1","les-jardins-de-beauval","1","3"
"chambre-supérieure-quadruple-ou-quintuple","Chambre Supérieure Quadruple ou Quintuple","","0","Option 1","les-pagodes-de-beauval","1","5"
"chambre-supérieure-double-ou-tripe---1-à-3-pers","Chambre Supérieure Double ou Tripe - 1 à 3 pers","","0","Option 1","les-pagodes-de-beauval","1","3"
"chambre-quadruple-ou-quintuple---1-à-5-pers","Chambre Quadruple ou Quintuple - 1 à 5 pers","","0","Option 1","les-pagodes-de-beauval","1","5"
"chambre-confort-double-ou-triple---1-à-3-pers","Chambre Confort Double ou Triple - 1 à 3 pers","","0","Option 1","les-pagodes-de-beauval","1","3"
"chambre-quadruple---vue-sur-le-cher---1-à-4-pers","Chambre Quadruple - Vue sur le Cher - 1 à 4 pers","","0","Option 1","les-rivages-de-beauval","1","4"
"chambre-quadruple---1-à-4-pers","Chambre Quadruple - 1 à 4 pers","","0","Option 1","les-rivages-de-beauval","1","4"
"chambre-double---vue-sur-le-cher---1-à-2-pers","Chambre Double - Vue sur le Cher - 1 à 2 pers","","0","Option 1","les-rivages-de-beauval","1","2"
"chambre-double---1-à-2-pers","Chambre Double - 1 à 2 pers","","0","Option 1","les-rivages-de-beauval","1","2"
"chambre-quintuple---1-à-5-pers","Chambre Quintuple - 1 à 5 pers","","0","Option 1","les-hauts-de-beauval","1","5"
