"Slug","Title","Prix","Sous Catégorie","description","Cibles","Ordre","Fond gris"
"repas-restaurant","Repas au restaurant","1","complément","","enfant,adulte,famille","4","true"
"location-fauteil-roulant","Fauteuil roulant","1","complément","","enfant,adulte","3","false"
"location-poussette","Poussette","1","complément","","enfant","2","true"
"place-de-parking","Place de Parking","1","complément","","enfant,adulte,famille","1","false"
"bon-cadeau-premier-pas-de-soigneur---enfant","Bon cadeau Premier pas de Soigneur - Enfant","60","bon-cadeau---premiers-pas-de-soigneurs---enfant","","enfant","1","false"
"bon-cadeau-soigneur-d-un-jour---junior","Bon cadeau Soigneur d'un jour - Junior","115","bon-cadeau---soigneur-d-un-jour---junior","","enfant","1","false"
"bon-cadeau-soigneur-d-un-jour---adulte","Bon cadeau Soigneur d'un jour - Adulte","220","bon-cadeau---soigneur-d-un-jour---adulte","","adulte","1","false"
"visite-guidée-entre-coulisses-et-innovations","Visite Guidée : Entre coulisses et innovations","20","premiers-pas-de-soigneurs---enfant","","famille,adulte,enfant","1","false"
"premiers-pas-de-soigneur---enfant","Premiers pas de Soigneur - Enfant","60","premiers-pas-de-soigneurs---enfant","","enfant","1","false"
"soigneur-d-un-jour-famille---adulte","Soigneur d'un Jour Famille - Adulte","170","soigneur-d-un-jour---famille","","adulte","1","false"
"soigneur-d-un-jour-famille---junior","Soigneur d'un Jour Famille - Junior","130","soigneur-d-un-jour---famille","","enfant","2","true"
"soigneur-d-un-jour---junior","Soigneur d'un Jour - Junior","115","soigneur-d-un-jour---junior","","enfant","1","false"
"soigneur-d-un-jour---adulte","Soigneur d'un Jour - Adulte","220","soigneur-d-un-jour---adulte","","adulte","1","false"
"zoopass-premium-famille---3-adultes-(11-)-et-1-enfant-(3-10)","ZooPass Premium Famille - 3 Adultes (11+) et 1 enfant (3-10)","449","zoopass-famille","","famille","2","true"
"zoopass-premium-famille---2-adultes-(11-)-et-2-enfants-(3-10)","ZooPass Premium Famille - 2 Adultes (11+) et 2 enfants (3-10)","434","zoopass-famille","","famille","1","false"
"zoopass-premium-famille---4-adultes-(11-)","ZooPass Premium Famille - 4 Adultes (11+)","464","zoopass-famille","","famille","3","false"
